uuid,start_time,end_time,time_offset,count,calorie,distance
c1346e6e-7956-4409-9f4f-d53c660106b1,1682899200000,1682985540000,600,2166,86,1516
8511d15e-128c-416a-8e2a-c6621aad627e,1682985600000,1683071940000,600,3526,141,2468
f4cb3310-a0f1-479d-a28c-3e22f1e40d3b,1683072000000,1683158340000,600,9375,375,6562
ff2f8b79-e1e7-4957-bccd-5e8b53a09664,1683158400000,1683244740000,600,3492,139,2444
72340ccd-28b8-4819-9d95-aa7d54cc7b7f,1683244800000,1683331140000,600,9115,364,6380
e9fe7b4d-61fa-413f-84d6-f547b7894bd1,1683331200000,1683417540000,600,3488,139,2441
3a0a4c2a-da16-4255-aa62-d137f9d48e19,1683417600000,1683503940000,600,11693,467,8185
b41cab35-4b72-47b4-9d5c-afb2903f8011,1683504000000,1683590340000,600,2768,110,1937
0efd95d5-3d2d-4dce-a4fd-26d9b205c0a5,1683590400000,1683676740000,600,3664,146,2564
c1fca2c5-8712-45f3-8a6b-7cdd890d20c7,1683676800000,1683763140000,600,2952,118,2066
17ce46fd-c946-4f5d-aebb-dffec35d415f,1683763200000,1683849540000,600,13899,555,9729
a2297090-bd79-40f5-9457-a71ca799c616,1683849600000,1683935940000,600,9439,377,6607
4666824b-17e8-48d2-aa38-aacf922dafcb,1683936000000,1684022340000,600,12511,500,8757
a1b0bcbd-ed33-454c-b5e8-84c73b3eed83,1684022400000,1684108740000,600,2866,114,2006
2d066578-d204-4864-b3a4-038cb8b281bb,1684108800000,1684195140000,600,10253,410,7177
0170afed-6ef9-42ef-a62c-4fc5fa67db67,1684195200000,1684281540000,600,2347,93,1642
23bb505e-dedb-4aea-b11d-418ca2ea16c9,1684281600000,1684367940000,600,9870,394,6909
552f7617-68a0-4706-a1f5-b976a446673a,1684368000000,1684454340000,600,3550,142,2485
6e9637e2-1d9e-4c1a-a577-7e8cb42bd4d2,1684454400000,1684540740000,600,2758,110,1930
e4412197-9e03-4f53-9eaf-8ccfcceb432c,1684540800000,1684627140000,600,3686,147,2580
6a00a563-2edb-4636-a6dd-e0ac0becdfac,1684627200000,1684713540000,600,3181,127,2226
0a949f25-d7ed-4098-a503-7884ae6ea8b9,1684713600000,1684799940000,600,11999,479,8399
2cf0c4fb-6c93-41b6-9c23-71f058cc0b4e,1684800000000,1684886340000,600,3845,153,2691
7f41ce99-a308-4326-97c0-e8c4fc8a7374,1684886400000,1684972740000,600,3238,129,2266
389af0b0-46df-4395-b007-fde05d5ee6b0,1684972800000,1685059140000,600,3342,133,2339
