uuid,start_time,end_time,time_offset,count,calorie,distance
6bde97e3-9e78-4244-a8ec-e06ece027d12,1682899200000,1682985540000,600,2470,98,1729
ef506123-6134-4fd3-a1a9-472e303c0d47,1682985600000,1683071940000,600,2299,91,1609
952969e9-2fa1-4275-9611-9b9f0ce2551c,1683072000000,1683158340000,600,2660,106,1861
44930434-7249-4d17-84c2-1aa98ba9b44d,1683158400000,1683244740000,600,2574,102,1801
d24de73b-880c-4ebb-8852-19ab4e3e6731,1683244800000,1683331140000,600,2205,88,1543
a0dcbae5-b4af-4396-925b-a4f46efe0564,1683331200000,1683417540000,600,2482,99,1737
93ebf996-a13c-4796-89d0-cf3c3fec9327,1683417600000,1683503940000,600,2695,107,1886
76d101f2-0726-46e4-87b3-c3a80dbbd7fa,1683504000000,1683590340000,600,2781,111,1946
6d60c7b8-b2d4-48b6-b41c-ffc3f11cc054,1683590400000,1683676740000,600,2595,103,1816
cc089ad1-a8b6-4bc5-9638-e6aadbfe9fb7,1683676800000,1683763140000,600,2638,105,1846
4ab6f1ad-b9bd-4e4a-9dde-a2a083deb63a,1683763200000,1683849540000,600,2383,95,1668
b11f4efd-58b1-4d39-9e05-385ff9ceb523,1683849600000,1683935940000,600,2563,102,1794
60b86387-5c17-4ad0-a2ae-8fa8b6c62285,1683936000000,1684022340000,600,2509,100,1756
d9014a15-5701-4e4f-b974-89f11eb36edf,1684022400000,1684108740000,600,2544,101,1780
3f659256-4526-4c2e-875e-91aa36b37462,1684108800000,1684195140000,600,2654,106,1857
e0e92eb4-eda6-4e45-bac8-9a088a7cedb7,1684195200000,1684281540000,600,2419,96,1693
d3e263ab-632c-4e69-93c7-452ad4c83774,1684281600000,1684367940000,600,2607,104,1824
780956ea-5a9d-498e-907e-f152e26759ed,1684368000000,1684454340000,600,2382,95,1667
ba4ac99a-dcbe-46a8-9c97-880c1018d2e8,1684454400000,1684540740000,600,2435,97,1704
9847fba5-93d9-4905-bb7f-edc7afd7d373,1684540800000,1684627140000,600,2509,100,1756
